epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
131,-25.10819419245311,-8.09985210295642,-4.906436748371882,-6.270949484572817,-1.9128860981197056,-3.827632665041997,-4.272729454761158
132,-25.274684066270318,-8.15071076249162,-4.9328806688107285,-6.3093625666434265,-1.9245610011865044,-3.850043292673573,-4.29566178090792
133,-25.460159854894016,-8.201512199913438,-4.95928607426906,-6.347716945708067,-1.9361936109914335,-3.8724123901723755,-4.318549414811283
134,-25.626888858537683,-8.252257238753618,-4.98565364137793,-6.386013358184143,-1.947784514222056,-3.894740618822237,-4.341393223089439
135,-25.80224871179409,-8.302946685990182,-5.011984028180861,-6.424252525500157,-1.9593342961320352,-3.9170286186053223,-4.364194048865381
136,-25.957744201097103,-8.353581332516486,-5.038277874740602,-6.46243515498528,-1.9708435392279822,-3.9392770093265073,-4.386952712564926
137,-26.117034685902482,-8.404161953597548,-5.064535803722513,-6.500561940695022,-1.9823128220846875,-3.961486391666162,-4.4096700126799355
138,-26.28644187817413,-8.454689309310465,-5.090758420955714,-6.538633564176753,-1.9937427182822716,-3.9836573481658504,-4.432346726498536
139,-26.474227208274684,-8.505164144975891,-5.116946315973183,-6.576650695179111,-2.005133795458712,-4.005790444151254,-4.4549836108040965
140,-26.6586970045492,-8.555587191573174,-5.143100062531755,-6.6146139923086515,-2.0164866144711984,-4.027886228596361,-4.4775814025446
141,-26.84132392018823,-8.60595916614359,-5.169220219113064,-6.652524103637301,-2.0278017286598082,-4.049945234932704,-4.500140819473955
142,-27.001831219211702,-8.656280772183164,-5.195307329406273,-6.690381667263608,-2.039079683207074,-4.071967981807255,-4.522662560766708
143,-27.196187408372325,-8.70655270002232,-5.2213619227734975,-6.7281873118309585,-2.0503210145871322,-4.0939549737923295,-4.54514730760752
144,-27.381378018945835,-8.756775627193889,-5.247384514698668,-6.765941657005386,-2.0615262500982934,-4.115906702050667,-4.56759572375675
145,-27.580496075947003,-8.806950218790714,-5.2733756072205775,-6.8036453139158795,-2.072695907473046,-4.137823644958656,-4.590008456093329
